name,map_label,x_px,y_px,map_x,map_y,grid,region,sector,category,coordinate_source,svg_occurrence,canon,hyperroutes,wookieepedia
"Derellium","Derellium","3643.846","1160.302","766.432","343.88","S-6","Outer Rim","Cronese Mandate","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Derellium"
"Corlass","Corlass","3662.13","1131.523","775.957","358.873","S-6","Outer Rim","Cronese Mandate","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Corlass"
"Nuswatta","Nuswatta","3682.444","1135.586","786.54","356.756","S-6","Outer Rim","Cronese Mandate","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Nuswatta"
"Argai","Argai","3666.192","1111.208","778.073","369.456","S-6","Outer Rim","Cronese Mandate","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Argai"
"Jaminere","Jaminere","3611.509","1079.089","763.87","372.235","S-6","Outer Rim","Allied Tion","planet","svg","svg-0681","legends","","https://starwars.fandom.com/wiki/Jaminere"
"Cadinth","Cadinth","3540.629","1101.589","728.557","360.64","S-6","Outer Rim","Allied Tion","planet","svg","svg-0234","legends","","https://starwars.fandom.com/wiki/Cadinth"
"Lianna","Lianna","3495.079","1075.819","704.624","371.071","S-6","Outer Rim","Allied Tion","planet","svg","svg-0824","canon","Perlemian Trade Route | Shaltin Tunnels","https://starwars.fandom.com/wiki/Lianna"
"Barseg","Barseg","3537.412","1089.734","710.984","380.643","S-6","Outer Rim","Allied Tion","planet","catalog","","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Barseg"
"Amarin","Amarin","3588.065","1082.964","737.372","384.17","S-6","Outer Rim","Allied Tion","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Amarin"
"Felucia","Felucia","3452.439","1064.469","680.216","379.912","R-6","Outer Rim","Thanium","planet","svg","svg-0484","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Felucia"
"Galidraan","Galidraan","3445.349","1104.209","682.598","359.105","R-6","Outer Rim","Thanium","planet","svg","svg-0512","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Galidraan"
"Draukyze","Draukyze","3456.982","1145.879","669.083","351.394","R-6","Outer Rim","Thanium","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Draukyze"
"Mossak","Mossak","3476.738","1110.321","679.375","369.918","R-6","Outer Rim","Thanium","planet","catalog","","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Mossak"
"Arcan","Arcan","3515.743","1119.802","699.695","364.979","R-6","Outer Rim","Thanium","planet","catalog","","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Arcan"
"Thanium","Thanium","3501.386","1077.816","692.216","386.852","R-6","Outer Rim","Thanium","planet","catalog","","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Thanium"
"Rhen Var","Rhen Var","3422.849","1109.459","662.797","353.175","R-6","Outer Rim","Thanium","planet","svg","svg-1199","canon","","https://starwars.fandom.com/wiki/Rhen_Var"
"Belderone","Belderone","3446.129","1193.839","677.801","312.544","R-6","Outer Rim","Belderone","planet","svg","svg-0169","canon","","https://starwars.fandom.com/wiki/Belderone"
"Vorzyd","Vorzyd","3319.179","1129.709","615.043","344.069","R-6","Outer Rim","Vorzyd","planet","svg","svg-1573","legends","","https://starwars.fandom.com/wiki/Vorzyd"
"Columex","Columex","3430.719","1173.589","675.472","327.791","R-6","Outer Rim","Belderone","planet","svg","svg-0304","legends","Perlemian Trade Route | Salin Corridor","https://starwars.fandom.com/wiki/Columex"
"Antemeridias","Antemeridias","3409.011","1297.449","644.092","272.432","R-7","Outer Rim","Antemeridian","planet","catalog","","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Antemeridias"
"Nam Chorios","Nam Chorios","3351.969","1207.339","636.22","304.466","R-6","Outer Rim","Meridian","planet","svg","svg-0970","canon","","https://starwars.fandom.com/wiki/Nam_Chorios"
"Budpock","Budpock","3429.508","1257.344","654.77","293.325","R-7","Outer Rim","Meridian","planet","catalog","","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Budpock"
"Lucazec","Lucazec","3213.599","1170.209","563.935","328.817","Q-6","Outer Rim","Nuiri","planet","svg","svg-0844","canon","Salin Corridor","https://starwars.fandom.com/wiki/Lucazec"
"Vjun","Vjun","3196.719","1188.209","546.252","313.887","Q-6","Outer Rim","Nuiri","planet","svg","svg-1563","canon","Salin Corridor","https://starwars.fandom.com/wiki/Vjun"
"Gala","Gala","3214.8","1244.704","542.916","299.91","Q-7","Outer Rim","Nuiri","planet","catalog","","legends","Salin Corridor","https://starwars.fandom.com/wiki/Gala"
"Garqi","Garqi","2092.879","938.711","-39.212","446.258","K-5","Outer Rim","Cassander","planet","svg","svg-0526","legends","","https://starwars.fandom.com/wiki/Garqi"
"Cassander","Cassander","2136.542","981.738","-18.814","436.905","K-5","Outer Rim","Cassander","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Cassander"
"Ord Canfre","Ord Canfre","2106.989","1004.084","-26.224","414.138","K-5","Outer Rim","Cassander","planet","svg","svg-1053","canon","","https://starwars.fandom.com/wiki/Ord_Canfre"
"Monhudle","Monhudle","2051.872","965.95","-62.924","445.13","K-5","Outer Rim","Cassander","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Monhudle"
"Forsen","Forsen","2128.257","1006.308","-23.13","424.105","K-5","Outer Rim","Cassander","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Forsen"
"New Bakstre","New Bakstre","2156.427","990.055","-8.455","432.572","K-5","Outer Rim","Cassander","planet","catalog","","legends","","https://starwars.fandom.com/wiki/New_Bakstre"
"Biitu","Biitu","2090.065","944.821","-43.027","456.137","K-5","Outer Rim","Cassander","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Biitu"
"Minashee","Minashee","2066.5","933.986","-55.303","461.782","K-5","Outer Rim","Cassander","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Minashee"
"Isiring","Isiring","2208.705","1004.141","18.78","425.234","L-5","Outer Rim","Cassander","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Isiring"
"Kalki Nebula","Kalki Nebula","2177.014","974.346","2.27","440.756","L-5","Outer Rim","Cassander","misc","catalog","","legends","","https://starwars.fandom.com/wiki/Kalki_Nebula"
"Moltok","Moltok","2170.379","917.084","7.237","458.399","L-5","Outer Rim","Atrivis","planet","svg","svg-0921","canon","","https://starwars.fandom.com/wiki/Moltok"
"Horuz","Horuz","2304.429","875.834","71.159","469.923","L-5","Outer Rim","Relgim","planet","svg","svg-0621","canon","","https://starwars.fandom.com/wiki/Horuz"
"Generis","Generis","2326.759","929.834","86.194","451.34","L-5","Outer Rim","Atrivis","planet","svg","svg-0533","legends","","https://starwars.fandom.com/wiki/Generis"
"Fedje","Fedje","2296.379","980.084","74.123","425.891","L-5","Outer Rim","Atrivis","planet","svg","svg-0480","legends","","https://starwars.fandom.com/wiki/Fedje"
"Spefik","Spefik","2221.368","959.583","25.377","448.447","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Spefik"
"Vuchelle","Vuchelle","2283.87","1008.001","57.938","423.223","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Vuchelle"
"Iridium","Iridium","2286.58","974.954","59.35","440.439","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Iridium"
"Gibbela","Gibbela","2235.385","937.305","32.679","460.053","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Gibbela"
"Fest","Fest","2327.177","976.208","80.499","439.786","L-5","Outer Rim","Atrivis","planet","catalog","","canon","","https://starwars.fandom.com/wiki/Fest"
"Devon","Devon","2333.676","965.915","83.885","445.148","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Devon"
"Markbee's Star","Markbee's Star","2332.864","941.537","83.462","457.848","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Markbee%27s_Star"
"Hethar","Hethar","2349.929","941.266","92.352","457.989","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Hethar"
"Nam'ta","Nam'ta","2340.448","923.931","87.413","467.02","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Nam'ta"
"Mantooine","Mantooine","2279.774","913.095","55.804","472.665","L-5","Outer Rim","Atrivis","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Mantooine"
"Bimmiel","Bimmiel","2606.879","716.834","232.006","561.615","N-4","Outer Rim","Kanz","planet","svg","svg-0191","legends","Veragi Trade Route","https://starwars.fandom.com/wiki/Bimmiel"
"Ereesus","Ereesus","2667.39","782.901","257.737","540.491","N-4","Outer Rim","Kanz","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Ereesus"
"Jerne","Jerne","2625.621","803.634","235.977","529.69","N-4","Outer Rim","Kanz","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Jerne"
"Argazda","Argazda","2635.349","789.959","250.272","524.925","N-4","Outer Rim","Kanz","planet","svg","svg-0088","legends","Veragi Trade Route","https://starwars.fandom.com/wiki/Argazda"
"Lorrd","Lorrd","2682.429","750.255","274.573","544.303","N-4","Outer Rim","Kanz","planet","svg","svg-0838","legends","","https://starwars.fandom.com/wiki/Lorrd"
"Kol Huro","Kol Huro","2680.009","777.584","274.573","531.278","N-4","Outer Rim","Nijune","planet","svg","svg-0767","legends","","https://starwars.fandom.com/wiki/Kol_Huro"
"Shaum Hii","Shaum Hii","2575.269","915.625","217.711","455.515","N-5","Outer Rim","Tragan Cluster","planet","svg","svg-1294","legends","Celanon Spur","https://starwars.fandom.com/wiki/Shaum_Hii"
"Agamar","Agamar","2439.599","988.332","145.739","419.714","M-5","Outer Rim","Lahara","planet","svg","svg-0023","canon","Celanon Spur","https://starwars.fandom.com/wiki/Agamar"
"Gandolo","Gandolo","2458.818","919.326","149.079","469.419","M-5","Outer Rim","Lahara","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Gandolo"
"Ketaris","Ketaris","2334.629","1009.334","96.835","408.245","L-5","Outer Rim","Oplovis","planet","svg","svg-0741","legends","","https://starwars.fandom.com/wiki/Ketaris"
"Akuria","Akuria","2418.219","857.459","134.447","488.259","M-5","Outer Rim","Oplovis","planet","svg","svg-0033","legends","","https://starwars.fandom.com/wiki/Akuria"
"Phaeda","Phaeda","2262.799","1087.339","55.664","366.912","L-6","Outer Rim","Cademimu","planet","svg","svg-1111","legends","","https://starwars.fandom.com/wiki/Phaeda"
"Cademimu","Cademimu","2428.559","1106.878","133.315","371.712","M-6","Outer Rim","Cademimu","planet","catalog","","legends","Celanon Spur","https://starwars.fandom.com/wiki/Cademimu"
"Noonar","Noonar","2384.469","1137.589","119.479","339.804","M-6","Outer Rim","Halthor","planet","svg","svg-1013","legends","Celanon Spur","https://starwars.fandom.com/wiki/Noonar"
"Ord Trasi","Ord Trasi","2192.439","811.844","14.957","511.324","L-4","Outer Rim","Relgim","planet","svg","svg-1059","legends","Veragi Trade Route","https://starwars.fandom.com/wiki/Ord_Trasi"
"Ord Biniir","Ord Biniir","2160.429","899.459","1.166","466.658","L-5","Outer Rim","Relgim","planet","svg","svg-1052","legends","","https://starwars.fandom.com/wiki/Ord_Biniir"
"Vykos","Vykos","2182.74","885.909","5.253","486.828","L-5","Outer Rim","Relgim","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Vykos"
"Marmoth","Marmoth","2051.91","829.569","-62.904","516.179","K-4","Outer Rim","Albarrio","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Marmoth"
"Mygeeto","Mygeeto","2071.719","845.084","-50.923","493.977","K-5","Outer Rim","Albarrio","planet","svg","svg-0950","canon","","https://starwars.fandom.com/wiki/Mygeeto"
"Anemcoro","Anemcoro","2165.907","934.529","-3.516","461.499","K-5","Outer Rim","Albarrio","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Anemcoro"
"Haverling","Haverling","2110.652","902.565","-32.302","478.151","K-5","Outer Rim","Albarrio","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Haverling"
"Morishim","Morishim","2112.546","881.438","-31.315","489.157","K-5","Outer Rim","Albarrio","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Morishim"
"Aris","Aris","2095.179","839.834","-31.153","497.552","K-5","Outer Rim","Albarrio","planet","svg","svg-0091","legends","","https://starwars.fandom.com/wiki/Aris"
"Malestrom Nebula","Malestrom Nebula","2151.048","881.847","-11.257","488.944","K-5","Outer Rim","Albarrio","misc","catalog","","legends","","https://starwars.fandom.com/wiki/Malestrom_Nebula"
"Eridicon","Eridicon","3857.423","1175.342","877.697","336.045","T-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Eridicon"
"Minntooine","Minntooine","3895.919","1202.056","897.752","322.128","T-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Minntooine"
"Ruisto","Ruisto","3867.219","1135.339","900.284","336.088","U-6","Outer Rim","Calamari","planet","svg","svg-1227","legends","Overic Griplink","https://starwars.fandom.com/wiki/Ruisto"
"Mon Calamari","Mon Cala","3883.619","1157.519","907.208","330.121","U-6","Outer Rim","Calamari","planet","svg","svg-0923","canon","Overic Griplink","https://starwars.fandom.com/wiki/Dac"
"New Heurkea","New Heurkea","3932.07","1226.142","916.585","309.58","U-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/New_Heurkea"
"Mantan","Mantan","3922.386","1217.27","911.54","314.202","U-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Mantan"
"Hinakuu","Hinakuu","3988.172","1235.216","945.812","304.853","U-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Hinakuu"
"Krinemonen","Krinemonen","3978.286","1203.83","940.662","321.204","U-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Krinemonen"
"Buchich","Buchich","3998.871","1195.499","951.386","325.544","U-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Buchich"
"Pammant","Pammant","3920.05","1195.67","910.323","325.455","U-6","Outer Rim","Calamari","planet","catalog","","canon","","https://starwars.fandom.com/wiki/Pammant"
"Pinperu","Pinperu","3948.096","1181.404","924.934","332.887","U-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Pinperu"
"Damendine","Damendine","3947.079","1151.708","924.404","348.357","U-6","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Damendine"
"Kamdon","Kamdon","3955.492","1262.617","928.787","290.578","U-7","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Kamdon"
"Poseidenna","Poseidenna","3903.018","1254.785","901.45","294.658","U-7","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Poseidenna"
"Sanctuary","Sanctuary","3938.84","1253.229","920.112","295.469","U-7","Outer Rim","Calamari","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Sanctuary"
"Wyndigal","Wyndigal","3617.199","1262.183","752.55","290.804","S-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Wyndigal"
"Altratonne","Altratonne","3653.767","1314.494","771.6","263.552","S-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Altratonne"
"New Alderaan","New Alderaan","3840.391","1232.429","868.824","306.305","T-6","Outer Rim","Ash Worlds","planet","catalog","","canon","","https://starwars.fandom.com/wiki/New_Alderaan"
"Cophrigin","Cophrigin","3770.263","1302.438","832.29","269.833","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Cophrigin"
"Iego","Iego","3731.099","1310.699","827.649","249.558","T-7","Outer Rim","Ash Worlds","planet","svg","svg-0642","canon","","https://starwars.fandom.com/wiki/Iego"
"OHS1782-03","OHS1782-03","3738.074","1380.01","815.521","229.421","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/OHS1782-03"
"Agon","Agon","3736.111","1348.286","814.498","245.948","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Agon"
"OHS3842-03","OHS3842-03","3721.822","1303.321","807.054","269.373","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/OHS3842-03"
"OHS4140-02","OHS4140-02","3739.023","1273.188","816.015","285.071","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/OHS4140-02"
"OHS2132-04","OHS2132-04","3851.601","1245.119","874.664","299.694","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/OHS2132-04"
"Chiron","Chiron","3889.502","1315.911","894.409","262.814","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Chiron"
"Nyny","Nyny","3781.686","1289.79","838.241","276.422","T-7","Outer Rim","Ash Worlds","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Nyny"
"Baros","Baros","3982.131","1328.386","942.665","256.315","U-7","Outer Rim","Dominus","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Baros"
"Dornea","Dornea","3976.755","1277.515","939.864","282.817","U-7","Outer Rim","Dominus","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Dornea"
"Gand","Gand","3807.119","1449.139","872.685","177.441","T-8","Outer Rim","Shadola","planet","svg","svg-0519","canon","","https://starwars.fandom.com/wiki/Gand_(planet)"
"Skeebo","Skeebo","3901.759","1449.209","924.148","176.384","U-8","Outer Rim","Shadola","planet","svg","svg-1322","legends","","https://starwars.fandom.com/wiki/Skeebo"
"Maldra","Maldra","3917.849","1419.209","932.063","190.414","U-8","Outer Rim","Shadola","planet","svg","svg-0865","legends","","https://starwars.fandom.com/wiki/Maldra"
"Baummu","Baummu","3944.065","1479.071","922.834","177.814","U-8","Outer Rim","Shadola","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Baummu"
"Jubilar","Jubilar","3702.629","1370.459","817.625","218.579","T-7","Outer Rim","Jubilar","planet","svg","svg-0696","legends","","https://starwars.fandom.com/wiki/Jubilar"
"Toong'l","Toong’l","3835.489","1353.819","886.028","225.992","T-7","Outer Rim","Jubilar","planet","svg","svg-1458","legends","","https://starwars.fandom.com/wiki/Toong%27L"
"Oseon","Oseon","3797.439","1500.509","860.614","150.898","T-8","Outer Rim","Centrality","planet","svg","svg-1068","legends","Lesser Lantillian Route","https://starwars.fandom.com/wiki/Oseon"
"Erilnar","Erilnar","3830.239","1534.43","863.535","148.974","T-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Erilnar"
"Rafa","Rafa","3846.461","1534.156","871.986","149.117","T-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Rafa"
"Ringneldia","Ringneldia","3888.153","1521.959","893.706","155.471","T-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Ringneldia"
"Arleen","Arleen","3844.255","1525.38","870.837","153.689","T-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Arleen_system"
"Scillal","Scillal","3836.13","1544.763","866.604","143.591","T-8","Outer Rim","Centrality","planet","catalog","","legends","Lesser Lantillian Route","https://starwars.fandom.com/wiki/Scillal"
"Lekua","Lekua","3851.163","1553.194","874.436","139.199","T-8","Outer Rim","Centrality","planet","catalog","","legends","Lesser Lantillian Route","https://starwars.fandom.com/wiki/Lekua"
"Cadma","Cadma","3864.909","1560.338","881.597","135.477","T-8","Outer Rim","Centrality","planet","catalog","","legends","Lesser Lantillian Route","https://starwars.fandom.com/wiki/Cadma"
"Zebitrope","Zebitrope","3874.728","1575.998","886.712","127.319","T-8","Outer Rim","Centrality","planet","catalog","","legends","Lesser Lantillian Route","https://starwars.fandom.com/wiki/Zebitrope"
"Dela","Dela","3847.737","1541.026","872.651","145.538","T-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Dela"
"Tund","Tund","3975.059","1511.549","955.544","145.444","U-8","Outer Rim","Centrality","planet","svg","svg-1484","canon","","https://starwars.fandom.com/wiki/Tund"
"ThonBoka","ThonBoka","3938.564","1571.998","919.968","129.403","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/ThonBoka"
"Renatasia","Renatasia","3872.509","1550.459","909.306","124.107","U-8","Outer Rim","Calaron","planet","svg","svg-1191","legends","","https://starwars.fandom.com/wiki/Renatasia"
"Hosrel","Hosrel","3959.154","1560.457","930.695","135.415","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Hosrel"
"Trammis","Trammis","3966.061","1543.46","934.293","144.27","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Trammis"
"Douglas","Douglas","3991.98","1562.945","947.796","134.119","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Douglas"
"Paulking","Paulking","3983.87","1549.961","943.571","140.883","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Paulking"
"Antipose","Antipose","3971.445","1535.876","937.098","148.221","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Antipose"
"Falko","Falko","3964.132","1532.897","933.288","149.773","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Falko"
"Uaua","Uaua","3901.759","1495.339","924.486","151.625","U-8","Outer Rim","Centrality","planet","svg","svg-1493","legends","","https://starwars.fandom.com/wiki/Uaua"
"Dilonexa","Dilonexa","3925.668","1522.163","913.25","155.365","U-8","Outer Rim","Centrality","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Dilonexa"
"Dagelin Minor","Dagelin Minor","3773.893","1517.283","834.181","157.907","T-8","Outer Rim","Cadma","planet","catalog","","legends","Lesser Lantillian Route","https://starwars.fandom.com/wiki/Dagelin_Minor"
"Taskeed","Taskeed","3598.009","1390.709","758.752","208.343","S-7","Outer Rim","Tharin","planet","svg","svg-1398","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Taskeed"
"Dennogra","Dennogra","3650.099","1426.709","776.153","190.447","S-8","Outer Rim","Tharin","planet","svg","svg-0378","canon","Triellus Trade Route","https://starwars.fandom.com/wiki/Dennogra"
"Junkfort Station","Junkfort Station","3719.712","1507.073","805.955","163.226","T-8","Outer Rim","Tharin","station","catalog","","legends","Lesser Lantillian Route | Triellus Trade Route","https://starwars.fandom.com/wiki/Junkfort_Station"
"Tammar","Tammar","3718.693","1591.932","805.424","119.018","T-8","Outer Rim","Tharin","planet","catalog","","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Tammar"
"Nimat","Nimat","3719.28","1525.629","805.73","153.559","T-8","Outer Rim","Tharin","planet","catalog","","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Nimat"
"Af'El","Af’El","3615.829","1548.989","773.879","118.911","S-8","Outer Rim","Periphery","planet","svg","svg-0022","legends","","https://starwars.fandom.com/wiki/Af%27El"
"Vaathkree","Vaathkree","3652.043","1600.673","770.702","114.464","S-8","Outer Rim","Periphery","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Vaathkree"
"Sriluur","Sriluur","3633.509","1564.879","775.679","112.982","S-8","Outer Rim","Periphery","planet","svg","svg-1347","canon","Kegan Run | Pabol Hutta","https://starwars.fandom.com/wiki/Sriluur"
"Lant","Lant","3640.376","1613.845","764.624","107.602","S-8","Outer Rim","Periphery","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Lant"
"Yoribuunt","Yoribuunt","3705.723","1624.904","798.667","101.841","S-8","Outer Rim","Periphery","planet","catalog","","legends","Kegan Run | Varl Run","https://starwars.fandom.com/wiki/Yoribuunt"
"Iotra","Iotra","3607.208","1608.073","747.345","110.609","S-8","Outer Rim","Iotra","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Iotra"
"Ossus","Ossus","3477.629","1173.589","699.508","319.002","R-6","Outer Rim","Auril","planet","svg","svg-1070","canon","","https://starwars.fandom.com/wiki/Ossus"
"Murkhana","Murkhana","3550.679","1158.649","732.64","326.715","S-6","Outer Rim","Auril","planet","svg","svg-0947","canon","","https://starwars.fandom.com/wiki/Murkhana"
"Trogan","Trogan","3467.514","1274.825","674.57","284.218","R-7","Outer Rim","Jospro","planet","catalog","","canon","","https://starwars.fandom.com/wiki/Trogan"
"Jomark","Jomark","3480.93","1308.361","681.559","266.747","R-7","Outer Rim","Jospro","planet","catalog","","canon","","https://starwars.fandom.com/wiki/Jomark"
"Sy Myrth","Sy Myrth","3486.479","1301.869","700.107","250.897","S-7","Outer Rim","Jospro","planet","svg","svg-1369","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Sy_Myrth"
"Kile","Kile","3533.779","1370.456","709.091","234.398","S-7","Outer Rim","Jospro","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Kile"
"Saleucami","Saleucami","3553.349","1461.959","733.126","168.177","S-8","Outer Rim","Suolriep","planet","svg","svg-1244","canon","","https://starwars.fandom.com/wiki/Saleucami"
"Boonta","Boonta","3576.629","1490.089","745.663","149.337","S-8","Outer Rim","Suolriep","planet","svg","svg-0205","legends","Kegan Run | Lesser Lantillian Route | Pabol Hutta","https://starwars.fandom.com/wiki/Boonta"
"Komnor","Komnor","3600.242","1440.189","743.716","198.07","S-8","Outer Rim","Suolriep","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Komnor"
"Kegan","Kegan","3798.259","1610.089","861.737","89.57","T-9","Outer Rim","Calaron","planet","svg","svg-0725","legends","Kegan Run | Triellus Trade Route","https://starwars.fandom.com/wiki/Kegan"
"Akrit'tar","Akrit’tar","3841.009","1659.589","890.476","67.159","T-9","Outer Rim","Calaron","planet","svg","svg-0032","legends","","https://starwars.fandom.com/wiki/Akrit'tar"
"Kubindi","Kubindi","3808.259","1728.269","869.118","27.378","T-9","Outer Rim","Calaron","planet","svg","svg-0789","canon","Triellus Trade Route","https://starwars.fandom.com/wiki/Kubindi"
"Delacrix","Delacrix","3766.679","1630.569","853.139","85.765","T-9","Outer Rim","Calaron","planet","svg","svg-0367","legends","Kegan Run","https://starwars.fandom.com/wiki/Delacrix"
"Gestrex","Gestrex","3785.099","1685.919","862.563","52.26","T-9","Outer Rim","Calaron","planet","svg","svg-0545","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Gestrex"
"Norval","Norval","3787.439","1706.009","863.086","44.055","T-9","Outer Rim","Calaron","planet","svg","svg-1016","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Norval"
"Lowick","Lowick","3893.359","1744.159","907.52","21.964","U-9","Outer Rim","Calaron","planet","svg","svg-0842","canon","","https://starwars.fandom.com/wiki/Lowick"
"Droxu","Droxu","3845.509","2054.459","894.145","-139.779","T-11","Outer Rim","Bheriz","planet","svg","svg-0416","legends","","https://starwars.fandom.com/wiki/Droxu"
"Bheriz","Bheriz","3905.669","1881.209","915.23","-49.647","U-10","Outer Rim","Bheriz","planet","svg","svg-0189","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Bheriz"
"Aduba","Aduba","3936.479","1999.469","933.907","-114.941","U-11","Outer Rim","Bheriz","planet","svg","svg-0015","legends","Triellus Trade Route","https://starwars.fandom.com/wiki/Aduba"
"Nadiem","Nadiem","3936.889","2134.199","942.03","-183.507","U-11","Outer Rim","Baxel","planet","svg","svg-0962","legends","","https://starwars.fandom.com/wiki/Nadiem"
